,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
68,Kazakhstan,670,+8,6.0,0,47.0,617,16.0,36.0,0.3,5093.0,271.0,18777000.0,48.019573,66.923684,0.0035681951323427597,7.014925373134329,92.08955223880596,0.8955223880597015
69,Kuwait,665,0,1.0,0,105.0,559,20.0,156.0,0.2,0,0,4271000.0,29.311659999999996,47.481766,0.015570124092718332,15.789473684210526,84.06015037593984,0.15037593984962408
70,Cameroon,658,0,9.0,0,17.0,632,0,25.0,0.3,0,0,26546000.0,7.369722,12.354722,0.0024787161907632036,2.5835866261398177,96.04863221884499,1.3677811550151975
71,Azerbaijan,641,0,7.0,0,44.0,590,11.0,63.0,0.7,45000.0,4438.0,10139000.0,40.143105,47.576927000000005,0.006322122497287701,6.86427457098284,92.04368174726989,1.0920436817472698
72,Tunisia,596,0,22.0,0,5.0,569,39.0,50.0,2.0,7725.0,654.0,11819000.0,33.886917,9.537499,0.005042727811151535,0.8389261744966443,95.46979865771812,3.691275167785235
73,North Macedonia,570,0,23.0,0,30.0,517,15.0,274.0,11.0,5291.0,2540.0,2083000.0,41.608635,21.745275,0.027364378300528083,5.263157894736842,90.70175438596492,4.035087719298246
74,Bulgaria,565,+16,22.0,0,42.0,501,26.0,81.0,3.0,15899.0,2288.0,6948000.0,42.733883,25.48583,0.008131836499712147,7.433628318584071,88.67256637168141,3.893805309734513
75,Latvia,542,0,1.0,0,16.0,525,5.0,287.0,0.5,21453.0,11374.0,1886000.0,56.879635,24.603189,0.028738069989395546,2.952029520295203,96.86346863468634,0.18450184501845018
76,Lebanon,541,0,19.0,0,60.0,462,27.0,79.0,3.0,9653.0,1414.0,6825000.0,33.854721000000005,35.862285,0.007926739926739926,11.090573012939002,85.39741219963032,3.512014787430684
77,Slovakia,534,0,2.0,0,8.0,524,3.0,98.0,0.4,16191.0,2966.0,5460000.0,48.669026,19.699023999999998,0.00978021978021978,1.4981273408239701,98.12734082397003,0.37453183520599254
78,Andorra,525,0,21.0,0,31.0,473,12.0,6795.0,272.0,0,0,77000.0,42.546245,1.6015540000000001,0.6818181818181818,5.904761904761905,90.0952380952381,4.0
79,Costa Rica,467,0,2.0,0,18.0,447,14.0,92.0,0.4,5363.0,1053.0,5094000.0,9.748917,-83.753428,0.009167648213584609,3.854389721627409,95.71734475374733,0.4282655246252677
80,Cyprus,465,0,9.0,0,45.0,411,11.0,385.0,7.0,11664.0,9661.0,1207000.0,35.126413,33.429859,0.03852526926263463,9.67741935483871,88.38709677419355,1.935483870967742
81,Afghanistan,423,+56,11.0,0,18.0,394,0,11.0,0.3,0,0,38928000.0,33.93911,67.709953,0.0010866214549938348,4.25531914893617,93.14420803782507,2.6004728132387704
82,Uruguay,415,0,6.0,0,123.0,286,14.0,119.0,2.0,5385.0,1550.0,3474000.0,-32.522779,-55.765834999999996,0.011945883707541738,29.63855421686747,68.9156626506024,1.4457831325301205
83,Albania,377,0,21.0,0,116.0,240,7.0,131.0,7.0,2571.0,893.0,2878000.0,41.153332,20.168331,0.013099374565670605,30.76923076923077,63.660477453580896,5.570291777188329
84,Taiwan,376,+3,5.0,0,61.0,310,0,16.0,0.2,39011.0,1638.0,23817000.0,23.69781,120.96051499999999,0.0015787042868539278,16.22340425531915,82.4468085106383,1.3297872340425532
85,Oman,371,+40,2.0,0,67.0,302,3.0,73.0,0.4,0,0,5107000.0,21.512583,55.923255000000005,0.0072645388682200905,18.059299191374663,81.40161725067385,0.5390835579514826
86,Burkina Faso,364,0,18.0,0,108.0,238,0,17.0,0.9,0,0,20903000.0,12.238333,-1.561593,0.0017413768358608812,29.67032967032967,65.38461538461539,4.945054945054945
87,Cuba,363,+13,9.0,0,18.0,336,12.0,32.0,0.8,5234.0,462.0,11327000.0,21.521757,-77.78116700000001,0.0032047320561490243,4.958677685950414,92.56198347107438,2.479338842975207
88,Jordan,349,0,6.0,0,126.0,217,5.0,34.0,0.6,17000.0,1666.0,10203000.0,30.585164000000002,36.238414,0.0034205625796334413,36.10315186246418,62.17765042979943,1.7191977077363898
89,Réunion,349,0,0.0,0,40.0,309,4.0,390.0,0,0,0,895000.0,-21.115141,55.536384,0.03899441340782123,11.461318051575931,88.53868194842407,0.0
90,Channel Islands,323,0,7.0,0,27.0,289,0,1858.0,40.0,1157.0,6655.0,174000.0,33.998028000000005,-119.772949,0.18563218390804598,8.359133126934983,89.47368421052632,2.1671826625387
91,Ivory Coast,323,0,3.0,0,41.0,279,0,12.0,0.1,0,0,26378000.0,7.539989,-5.54708,0.001224505269542801,12.693498452012383,86.37770897832817,0.9287925696594427
92,Honduras,305,+7,22.0,0,6.0,277,10.0,31.0,2.0,0,0,9905000.0,15.199998999999998,-86.241905,0.0030792529025744577,1.9672131147540985,90.81967213114754,7.213114754098362
93,Ghana,287,+73,5.0,0,31.0,251,2.0,9.0,0.2,0,0,31073000.0,7.946527000000001,-1.0231940000000002,0.0009236314485244425,10.801393728222997,87.45644599303137,1.7421602787456445
94,San Marino,277,0,32.0,0,35.0,210,14.0,8164.0,943.0,586.0,17270.0,34000.0,43.94236,12.457777,0.8147058823529412,12.63537906137184,75.81227436823104,11.552346570397113
95,Palestine,254,0,1.0,0,24.0,229,0,50.0,0.2,12738.0,2497.0,5101000.0,31.952162,35.233154,0.004979415800823368,9.448818897637794,90.15748031496062,0.39370078740157477
96,Vietnam,245,0,0.0,0,106.0,139,8.0,3.0,0,94305.0,969.0,97339000.0,14.058323999999999,108.277199,0.0002516976751353517,43.26530612244898,56.734693877551024,0.0
97,Malta,241,0,0.0,0,5.0,236,3.0,546.0,0,10923.0,24738.0,442000.0,35.937496,14.375416,0.054524886877828055,2.0746887966804977,97.9253112033195,0.0
98,Nigeria,238,0,5.0,0,35.0,198,2.0,1.0,0.02,5000.0,24.0,206140000.0,9.081999,8.675277000000001,0.00011545551566896285,14.705882352941178,83.19327731092437,2.100840336134454
99,Senegal,226,0,2.0,0,92.0,132,1.0,13.0,0.1,0,0,16744000.0,14.497401000000002,-14.452361999999999,0.0013497372193024368,40.707964601769916,58.4070796460177,0.8849557522123894
100,Georgia,195,+7,2.0,0,39.0,154,6.0,49.0,0.5,2762.0,692.0,3989000.0,42.315407,43.356891999999995,0.004888443218851843,20.0,78.97435897435898,1.0256410256410255
101,Bolivia,194,+11,14.0,3.0,2.0,178,3.0,17.0,1.0,591.0,51.0,11673000.0,-16.290154,-63.588653,0.001661954938747537,1.0309278350515463,91.75257731958763,7.216494845360824
102,Faeroe Islands,184,+1,0.0,0,129.0,55,2.0,3766.0,0,5035.0,103043.0,49000.0,61.892635,-6.9118059999999995,0.37551020408163266,70.1086956521739,29.891304347826086,0.0
103,Sri Lanka,180,+2,6.0,1.0,38.0,136,5.0,8.0,0.3,3248.0,152.0,21413000.0,7.873054,80.77179699999999,0.000840610843879886,21.11111111111111,75.55555555555556,3.3333333333333335
104,Venezuela,165,0,7.0,0,65.0,93,6.0,6.0,0.2,1779.0,63.0,28436000.0,6.42375,-66.58973,0.0005802503868335912,39.39393939393939,56.36363636363636,4.242424242424243
105,DRC,161,0,18.0,0,5.0,138,0,2.0,0.2,0,0,89561000.0,-4.038333000000001,21.758664000000003,0.0001797657462511584,3.1055900621118013,85.71428571428571,11.180124223602485
106,Kenya,158,0,6.0,0,4.0,148,2.0,3.0,0.1,4277.0,80.0,53771000.0,-0.023559,37.906193,0.00029383868628070895,2.5316455696202533,93.67088607594937,3.79746835443038
107,Martinique,151,0,4.0,0,50.0,97,20.0,402.0,11.0,0,0,375000.0,14.641528,-61.024174,0.040266666666666666,33.11258278145696,64.23841059602648,2.6490066225165565
108,Guadeloupe,139,0,7.0,0,31.0,101,14.0,347.0,17.0,0,0,400000.0,16.995971,-62.067641,0.034749999999999996,22.302158273381295,72.66187050359713,5.0359712230215825
109,Brunei,135,0,1.0,0,82.0,52,3.0,309.0,2.0,8261.0,18883.0,437000.0,4.535277,114.72766899999999,0.030892448512585814,60.74074074074074,38.51851851851852,0.7407407407407408
110,Guinea,128,0,0.0,0,5.0,123,0,10.0,0,0,0,13133000.0,9.945587,-9.696645,0.0009746440264981345,3.90625,96.09375,0.0
111,Bangladesh,123,0,12.0,0,33.0,78,1.0,0.7,0.07,3610.0,22.0,164689000.0,23.684994,90.35633100000001,7.468622676681503e-05,26.82926829268293,63.41463414634146,9.75609756097561
112,Paraguay,115,+2,5.0,0,15.0,95,1.0,16.0,0.7,2039.0,286.0,7133000.0,-23.442503,-58.44383199999999,0.0016122248703210429,13.043478260869565,82.6086956521739,4.3478260869565215
113,Cambodia,115,+1,0.0,0,58.0,57,1.0,7.0,0,5768.0,345.0,16719000.0,12.565679,104.990963,0.0006878401818290568,50.43478260869565,49.56521739130435,0.0
114,Gibraltar,109,0,0.0,0,52.0,57,0,3235.0,0,1387.0,41168.0,34000.0,36.137741,-5.345374,0.3205882352941176,47.706422018348626,52.293577981651374,0.0
115,Trinidad and Tobago,105,0,8.0,0,1.0,96,0,75.0,6.0,833.0,595.0,1399000.0,10.691803,-61.222503,0.0075053609721229455,0.9523809523809524,91.42857142857143,7.6190476190476195
116,Rwanda,105,0,0.0,0,4.0,101,0,8.0,0,0,0,12952000.0,-1.940278,29.873888,0.0008106856084002472,3.8095238095238098,96.19047619047619,0.0
117,Liechtenstein,77,0,1.0,0,55.0,21,0,2020.0,26.0,900.0,23605.0,38000.0,47.166000000000004,9.555373,0.2026315789473684,71.42857142857143,27.27272727272727,1.2987012987012987
118,Monaco,77,0,1.0,0,4.0,72,4.0,1962.0,25.0,0,0,39000.0,43.750298,7.412841,0.19743589743589746,5.194805194805195,93.5064935064935,1.2987012987012987
119,Guatemala,74,+4,3.0,0,17.0,54,3.0,4.0,0.2,1134.0,63.0,17916000.0,15.783470999999999,-90.23075899999999,0.0004130386246930118,22.972972972972975,72.97297297297297,4.054054054054054
120,French Guiana,72,0,0.0,0,34.0,38,1.0,241.0,0,0,0,299000.0,3.9338889999999997,-53.125781999999994,0.024080267558528427,47.22222222222222,52.77777777777778,0.0
121,Aruba,71,0,0.0,0,2.0,69,0,665.0,0,910.0,8523.0,107000.0,12.52111,-69.968338,0.06635514018691589,2.8169014084507045,97.1830985915493,0.0
122,Jamaica,59,0,3.0,0,8.0,48,0,20.0,1.0,540.0,182.0,2961000.0,18.109581,-77.297508,0.0019925700776764607,13.559322033898304,81.35593220338984,5.084745762711865
123,Togo,58,0,3.0,0,23.0,32,0,7.0,0.4,1467.0,177.0,8279000.0,8.619543,0.824782,0.0007005677014132142,39.6551724137931,55.172413793103445,5.172413793103448
124,Ethiopia,44,0,2.0,0,4.0,38,1.0,0.4,0.02,1843.0,16.0,114964000.0,9.145,40.489672999999996,3.827285063150203e-05,9.090909090909092,86.36363636363636,4.545454545454546
125,Macao,44,0,0.0,0,10.0,34,1.0,68.0,0,0,0,649000.0,22.198745000000002,113.543873,0.006779661016949152,22.727272727272727,77.27272727272727,0.0
126,French Polynesia,42,0,0.0,0,0.0,42,0,150.0,0,618.0,2200.0,281000.0,-17.679742,-149.40684299999998,0.014946619217081849,0.0,100.0,0.0
127,Cayman Islands,39,0,1.0,0,1.0,37,0,593.0,15.0,365.0,5554.0,66000.0,19.513469,-80.566956,0.0590909090909091,2.564102564102564,94.87179487179486,2.564102564102564
128,Saint Martin,32,0,2.0,0,7.0,23,6.0,828.0,52.0,0,0,39000.0,18.073099,-63.082198999999996,0.08205128205128205,21.875,71.875,6.25
129,Guyana,31,0,5.0,1.0,8.0,18,8.0,39.0,6.0,115.0,146.0,787000.0,4.860416000000001,-58.93018000000001,0.003939008894536214,25.806451612903224,58.06451612903226,16.129032258064516
130,Gabon,30,+6,1.0,0,1.0,28,0,13.0,0.4,0,0,2226000.0,-0.803689,11.609444,0.001347708894878706,3.3333333333333335,93.33333333333333,3.3333333333333335
131,Maldives,19,0,0.0,0,13.0,6,0,35.0,0,0,0,541000.0,3.202778,73.22068,0.0035120147874306835,68.42105263157895,31.57894736842105,0.0
132,Namibia,16,0,0.0,0,3.0,13,0,6.0,0,362.0,142.0,2541000.0,-22.957639999999998,18.49041,0.0006296733569460842,18.75,81.25,0.0
133,Antigua and Barbuda,15,0,0.0,0,0.0,15,1.0,153.0,0,40.0,408.0,98000.0,17.060816,-61.796428000000006,0.015306122448979591,0.0,100.0,0.0
134,Mongolia,15,0,0.0,0,4.0,11,0,5.0,0,0,0,3278000.0,46.862496,103.84665600000001,0.0004575960951799878,26.666666666666668,73.33333333333333,0.0
135,Sudan,14,+2,2.0,0,2.0,10,0,0.3,0.05,0,0,43849000.0,12.862807,30.217636,3.1927752058199734e-05,14.285714285714285,71.42857142857143,14.285714285714285
136,Saint Lucia,14,0,0.0,0,1.0,13,0,76.0,0,0,0,184000.0,13.909444,-60.97889300000001,0.0076086956521739125,7.142857142857142,92.85714285714286,0.0
137,Curaçao,13,0,1.0,0,5.0,7,0,79.0,6.0,0,0,164000.0,12.16957,-68.990021,0.007926829268292683,38.46153846153847,53.84615384615385,7.6923076923076925
138,Suriname,10,0,1.0,0,0.0,9,0,17.0,2.0,0,0,587000.0,3.9193050000000005,-56.02778299999999,0.0017035775127768312,0.0,90.0,10.0
139,Eswatini,10,0,0.0,0,4.0,6,0,9.0,0,0,0,1160000.0,-26.497615999999997,31.355666999999997,0.0008620689655172414,40.0,60.0,0.0
140,Nepal,9,0,0.0,0,1.0,8,0,0.3,0,1656.0,57.0,29137000.0,28.394857000000002,84.12400799999999,3.08885609362666e-05,11.11111111111111,88.88888888888889,0.0
141,St. Vincent Grenadines,7,0,0.0,0,1.0,6,0,63.0,0,0,0,111000.0,12.984305,-61.287228000000006,0.006306306306306306,14.285714285714285,85.71428571428571,0.0
142,Mauritania,6,0,1.0,0,2.0,3,0,1.0,0.2,67.0,14.0,4650000.0,21.00789,-10.940835,0.0001290322580645161,33.33333333333333,50.0,16.666666666666664
143,St. Barth,6,0,0.0,0,1.0,5,0,607.0,0,0,0,10000.0,17.896179999999998,-62.84978,0.06,16.666666666666664,83.33333333333334,0.0
144,Bhutan,5,0,0.0,0,2.0,3,0,6.0,0,1166.0,1511.0,772000.0,27.514162,90.433601,0.0006476683937823834,40.0,60.0,0.0
145,China,81740,+32,3331.0,0,77167.0,1242,211.0,57.0,2.0,0,0,1439324000.0,35.86166,104.195397,0.005679054889656533,94.4054318571079,1.5194519207242476,4.07511622216785
146,Total:,1349821,"+3,817",74820.0,166.0,286877.0,988124,47409.0,173.2,9.6,0,0,7794798728.999999,1.0,1.0,0.01731694488759647,21.252966134028142,73.20407668868687,5.542957177284988
