,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,MortalityRate
129,Guyana,31,0,5.0,1.0,8.0,18,8.0,39.0,6.0,115.0,146.0,787000.0,4.860416000000001,-58.93018000000001,0.003939008894536214,25.806451612903224,58.06451612903226,16.129032258064516
2,Italy,132547,0,16523.0,0,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0,60462000.0,41.87194,12.56738,0.21922364460322188,17.229360151493434,70.30487298844939,12.465766860057187
51,Algeria,1423,0,173.0,0,90.0,1160,46.0,32.0,4.0,3359.0,77.0,43851000.0,28.033886,1.6596259999999998,0.0032450799297621493,6.324666198172873,81.51791988756149,12.157413914265636
94,San Marino,277,0,32.0,0,35.0,210,14.0,8164.0,943.0,586.0,17270.0,34000.0,43.94236,12.457777,0.8147058823529412,12.63537906137184,75.81227436823104,11.552346570397113
105,DRC,161,0,18.0,0,5.0,138,0,2.0,0.2,0,0,89561000.0,-4.038333000000001,21.758664000000003,0.0001797657462511584,3.1055900621118013,85.71428571428571,11.180124223602485
6,UK,51608,0,5373.0,0,135.0,46100,1559.0,760.0,79.0,252958.0,3726.0,67886000.0,55.378051,-3.435973,0.07602156556580149,0.26158735079832585,89.3272360874283,10.411176561773368
10,Netherlands,18803,0,1867.0,0,250.0,16686,1409.0,1097.0,109.0,86589.0,5053.0,17135000.0,52.132633,5.291266,0.1097344616282463,1.3295750678083285,88.74115832579908,9.929266606392597
1,Spain,136675,0,13341.0,0,40437.0,82897,6931.0,2923.0,285.0,355000.0,7593.0,46755000.0,40.463667,-3.7492199999999998,0.2923216768260079,29.586244741174315,60.65264313151637,9.76111212730931
111,Bangladesh,123,0,12.0,0,33.0,78,1.0,0.7,0.07,3610.0,22.0,164689000.0,23.684994,90.35633100000001,7.468622676681503e-05,26.82926829268293,63.41463414634146,9.75609756097561
4,France,98010,0,8911.0,0,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0,65274000.0,46.227638,2.213749,0.15015166835187058,17.600244872972144,73.30782573206815,9.091929394959699
36,Indonesia,2491,0,209.0,0,192.0,2090,0,9.0,0.8,13186.0,48.0,273524000.0,-0.789275,113.921327,0.0009107061903160235,7.707747892412686,83.90204737053392,8.390204737053391
9,Belgium,20814,0,1632.0,0,3986.0,15196,1257.0,1796.0,141.0,70000.0,6040.0,11590000.0,50.503887,4.469936,0.1795858498705781,19.150571730565964,73.00855193619678,7.840876333237244
115,Trinidad and Tobago,105,0,8.0,0,1.0,96,0,75.0,6.0,833.0,595.0,1399000.0,10.691803,-61.222503,0.0075053609721229455,0.9523809523809524,91.42857142857143,7.6190476190476195
56,Morocco,1141,+21,83.0,3.0,88.0,970,1.0,31.0,2.0,5272.0,143.0,36911000.0,31.791702,-7.09262,0.003091219419685189,7.712532865907098,85.0131463628396,7.274320771253287
101,Bolivia,194,+11,14.0,3.0,2.0,178,3.0,17.0,1.0,591.0,51.0,11673000.0,-16.290154,-63.588653,0.001661954938747537,1.0309278350515463,91.75257731958763,7.216494845360824
92,Honduras,305,+7,22.0,0,6.0,277,10.0,31.0,2.0,0,0,9905000.0,15.199998999999998,-86.241905,0.0030792529025744577,1.9672131147540985,90.81967213114754,7.213114754098362
18,Sweden,7206,0,477.0,0,205.0,6524,590.0,714.0,47.0,36900.0,3654.0,10099000.0,60.128161,18.643501,0.07135359936627389,2.844851512628365,90.53566472384125,6.619483763530392
53,Egypt,1322,0,85.0,0,259.0,978,0,13.0,0.8,25000.0,244.0,102334000.0,26.820553000000004,30.802497999999996,0.0012918482615748431,19.591527987897127,73.97881996974282,6.429652042360061
128,Saint Martin,32,0,2.0,0,7.0,23,6.0,828.0,52.0,0,0,39000.0,18.073099,-63.082198999999996,0.08205128205128205,21.875,71.875,6.25
58,Iraq,1031,0,64.0,0,344.0,623,0,26.0,2.0,0,0,40223000.0,33.223191,43.679291,0.0025632101036720287,33.365664403491756,60.42677012609118,6.207565470417071
5,Iran,60500,0,3739.0,0,24236.0,32525,4083.0,720.0,45.0,186000.0,2214.0,83993000.0,32.427908,53.68804599999999,0.07202981200814353,40.0595041322314,53.760330578512395,6.180165289256198
64,Hungary,817,+73,47.0,9.0,71.0,699,17.0,85.0,5.0,23746.0,2458.0,9660000.0,47.162494,19.503304,0.008457556935817807,8.69033047735618,85.55691554467563,5.752753977968176
83,Albania,377,0,21.0,0,116.0,240,7.0,131.0,7.0,2571.0,893.0,2878000.0,41.153332,20.168331,0.013099374565670605,30.76923076923077,63.660477453580896,5.570291777188329
123,Togo,58,0,3.0,0,23.0,32,0,7.0,0.4,1467.0,177.0,8279000.0,8.619543,0.824782,0.0007005677014132142,39.6551724137931,55.172413793103445,5.172413793103448
37,Mexico,2439,+296,125.0,31.0,633.0,1681,89.0,19.0,1.0,20475.0,159.0,128933000.0,23.634501,-102.552784,0.0018916801749745992,25.953259532595325,68.92168921689216,5.125051250512505
