,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
94,San Marino,277,0,32.0,0,35.0,210,14.0,8164.0,943.0,586.0,17270.0,34000.0,43.94236,12.457777,0.8147058823529412,12.63537906137184,75.81227436823104,11.552346570397113
78,Andorra,525,0,21.0,0,31.0,473,12.0,6795.0,272.0,0,0,77000.0,42.546245,1.6015540000000001,0.6818181818181818,5.904761904761905,90.0952380952381,4.0
49,Iceland,1562,0,6.0,0,460.0,1096,11.0,4577.0,18.0,27880.0,81701.0,341000.0,64.96305100000001,-19.020835,0.45806451612903226,29.449423815621,70.16645326504481,0.3841229193341869
33,Luxembourg,2843,0,41.0,0,500.0,2302,33.0,4542.0,65.0,24291.0,38805.0,626000.0,49.815273,6.129583,0.4541533546325879,17.58705592683785,80.97080548716144,1.4421385860007034
102,Faeroe Islands,184,+1,0.0,0,129.0,55,2.0,3766.0,0,5035.0,103043.0,49000.0,61.892635,-6.9118059999999995,0.37551020408163266,70.1086956521739,29.891304347826086,0.0
114,Gibraltar,109,0,0.0,0,52.0,57,0,3235.0,0,1387.0,41168.0,34000.0,36.137741,-5.345374,0.3205882352941176,47.706422018348626,52.293577981651374,0.0
1,Spain,136675,0,13341.0,0,40437.0,82897,6931.0,2923.0,285.0,355000.0,7593.0,46755000.0,40.463667,-3.7492199999999998,0.2923216768260079,29.586244741174315,60.65264313151637,9.76111212730931
8,Switzerland,21712,+55,769.0,4.0,8056.0,12887,391.0,2509.0,89.0,162500.0,18776.0,8655000.0,46.818188,8.227511999999999,0.25086077411900637,37.1039056742815,59.35427413411938,3.5418201915991157
2,Italy,132547,0,16523.0,0,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0,60462000.0,41.87194,12.56738,0.21922364460322188,17.229360151493434,70.30487298844939,12.465766860057187
117,Liechtenstein,77,0,1.0,0,55.0,21,0,2020.0,26.0,900.0,23605.0,38000.0,47.166000000000004,9.555373,0.2026315789473684,71.42857142857143,27.27272727272727,1.2987012987012987
118,Monaco,77,0,1.0,0,4.0,72,4.0,1962.0,25.0,0,0,39000.0,43.750298,7.412841,0.19743589743589746,5.194805194805195,93.5064935064935,1.2987012987012987
90,Channel Islands,323,0,7.0,0,27.0,289,0,1858.0,40.0,1157.0,6655.0,174000.0,33.998028000000005,-119.772949,0.18563218390804598,8.359133126934983,89.47368421052632,2.1671826625387
9,Belgium,20814,0,1632.0,0,3986.0,15196,1257.0,1796.0,141.0,70000.0,6040.0,11590000.0,50.503887,4.469936,0.1795858498705781,19.150571730565964,73.00855193619678,7.840876333237244
4,France,98010,0,8911.0,0,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0,65274000.0,46.227638,2.213749,0.15015166835187058,17.600244872972144,73.30782573206815,9.091929394959699
12,Austria,12390,+93,220.0,0,3463.0,8707,250.0,1376.0,24.0,111296.0,12357.0,9006000.0,47.516231,14.550072,0.13757495003331113,27.9499596448749,70.27441485068604,1.7756255044390639
3,Germany,103375,0,1810.0,0,36081.0,65484,4895.0,1234.0,22.0,918460.0,10962.0,83784000.0,51.165690999999995,10.451526,0.1233827461090423,34.90302297460701,63.346070133010876,1.750906892382104
14,Portugal,11730,0,311.0,0,140.0,11279,270.0,1150.0,31.0,110000.0,10788.0,10197000.0,39.399871999999995,-8.224454,0.11503383348043543,1.1935208866155158,96.15515771526002,2.6513213981244674
0,USA,367650,+646,10943.0,72.0,19810.0,336897,8983.0,1111.0,33.0,1933423.0,5841.0,331003000.0,37.09024,-95.712891,0.11107150086252994,5.38827689378485,91.63525091799266,2.9764721882224943
10,Netherlands,18803,0,1867.0,0,250.0,16686,1409.0,1097.0,109.0,86589.0,5053.0,17135000.0,52.132633,5.291266,0.1097344616282463,1.3295750678083285,88.74115832579908,9.929266606392597
21,Ireland,5364,0,174.0,0,25.0,5165,165.0,1086.0,35.0,30213.0,6119.0,4938000.0,53.41291,-8.243889999999999,0.10862697448359661,0.4660700969425802,96.29008202833707,3.2438478747203576
20,Norway,5866,+1,78.0,2.0,32.0,5756,83.0,1082.0,14.0,111299.0,20530.0,5421000.0,60.472024,8.468946,0.10820881756133553,0.5455165359699966,98.12478690760314,1.3296965564268668
16,Israel,9006,+102,59.0,2.0,683.0,8264,153.0,1040.0,7.0,109724.0,12677.0,8656000.0,31.046051000000002,34.851612,0.10404343807763401,7.583833000222075,91.7610481900955,0.655118809682434
57,Estonia,1108,0,19.0,0,62.0,1027,14.0,835.0,14.0,21866.0,16484.0,1327000.0,58.595271999999994,25.013607,0.08349660889223813,5.595667870036101,92.68953068592057,1.7148014440433215
128,Saint Martin,32,0,2.0,0,7.0,23,6.0,828.0,52.0,0,0,39000.0,18.073099,-63.082198999999996,0.08205128205128205,21.875,71.875,6.25
25,Denmark,4681,0,187.0,0,1378.0,3116,144.0,808.0,32.0,52936.0,9139.0,5792000.0,56.26392,9.501785,0.08081837016574586,29.438154240546893,66.56697286904507,3.9948728904080326
